rodada,partida_id,placar,placar_mandante,placar_visitante,status,data_realizacao,edicao.edicao_id,edicao.temporada,edicao.nome_popular,campeonato.campeonato_id,campeonato.nome,campeonato.slug,time_mandante.time_id,time_mandante.nome_popular,time_mandante.sigla,time_mandante.escudo,time_visitante.time_id,time_visitante.nome_popular,time_visitante.sigla,time_visitante.escudo,estadio.estadio_id,estadio.nome_popular,rodada_num,time_mandante.valor,time_visitante.valor
24a-rodada,86375774,1x0,1,0,finalizado,45530,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Internacional,,,,Cruzeiro,,,,Estádio Beira-Rio,24,33150000,36600000
24a-rodada,39427581,2x1,2,1,finalizado,45530,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Flamengo,,,,Bragantino,,,,Estádio Jornalista Mário Filho,24,65200000,31500000
24a-rodada,84219937,2x1,2,1,finalizado,45531,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Vasco,,,,Athletico-PR,,,,Estádio São Januário,24,29800000,28200000
5a-rodada,76962129,0x0,0,0,finalizado,45533,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cruzeiro,,,,Internacional,,,,Estádio Governador Magalhães Pinto,5,41200000,30450000
19a-rodada,62336211,1x0,1,0,finalizado,45533,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Criciúma,,,,Bragantino,,,,Estádio Heriberto Hülse,19,8730000,31500000
25a-rodada,22080405,2x1,2,1,finalizado,45535,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cuiabá,,,,Criciúma,,,,Arena Pantanal,25,13550000,7630000
25a-rodada,10806725,2x0,2,0,finalizado,45536,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Botafogo,,,,Fortaleza,,,,Estádio Olímpico Nilton Santos,25,60800000,14800000
25a-rodada,45947181,2x0,2,0,finalizado,45536,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fluminense,,,,São Paulo,,,,Estádio Jornalista Mário Filho,25,25850000,19750000
25a-rodada,12824854,2x1,2,1,finalizado,45536,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Corinthians,,,,Flamengo,,,,Neo Química Arena ,25,32500000,78900000
25a-rodada,67199927,1x3,1,3,finalizado,45536,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Juventude,,,,Internacional,,,,Estádio Alfredo Jaconi ,25,9900000,40700000
25a-rodada,37443968,2x1,2,1,finalizado,45536,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bragantino,,,,Bahia,,,,Estádio Nabi Abi Chedid,25,41300000,37450000
25a-rodada,46956857,0x1,0,1,finalizado,45536,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Vitória,,,,Vasco,,,,Estádio Manoel Barradas,25,12180000,35500000
25a-rodada,95176803,0x2,0,2,finalizado,45536,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Athletico-PR,,,,Palmeiras,,,,Ligga Arena,25,38300000,101600000
25a-rodada,66202148,2x3,2,3,finalizado,45536,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Grêmio,,,,Atlético-MG,,,,Arena do Grêmio,25,41000000,49300000
25a-rodada,23087922,3x1,3,1,finalizado,45536,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cruzeiro,,,,Atlético-GO,,,,Estádio Governador Magalhães Pinto,25,47100000,9350000
16a-rodada,50106769,0x0,0,0,finalizado,45541,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cuiabá,,,,Juventude,,,,Arena Pantanal,16,11250000,10400000
19a-rodada,85925061,2x1,2,1,finalizado,45547,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Internacional,,,,Fortaleza,,,,Estádio Beira-Rio,19,29850000,14650000
26a-rodada,58109184,1x1,1,1,finalizado,45549,,2024,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Athletico-PR,,,,Fortaleza,,,,Ligga Arena,26,31300000,17250000
